"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3"
"Kiermaier"," Kevin","Kevin Kiermaier","TB",595281,2021,-1.2090273484683,-2.07320572681563,0.860743293525039
"Knapp"," Andrew","Andrew Knapp","PHI",595284,2021,1.57656210348565,-0.265055766899289,0.11410706562754
"Wallach"," Chad","Chad Wallach","MIA",595453,2021,1.58596147732063,1.47699403263857,0.346712508868097
"Alfaro"," Jorge","Jorge Alfaro","MIA",595751,2021,-0.561886144458006,-1.43127818271884,0.142262590786243
"Profar"," Jurickson","Jurickson Profar","SD",595777,2021,-0.213323911348467,-0.804970231936077,1.27830663474254
"Baez"," Javier","Javier Baez","CHC",595879,2021,-2.93437967915123,-1.11277188570167,-1.34568598215729
"Cave"," Jake","Jake Cave","MIN",595909,2021,0.720167482848921,-0.838201481554716,-0.578112738578162
"Evans"," Phillip","Phillip Evans","PIT",595943,2021,-0.00893491450860631,-0.0609707964854025,0.971745203473227
"Gallagher"," Cam","Cam Gallagher","KC",595956,2021,1.28774444007957,1.00906936405512,0.75635321911469
"Hedges"," Austin","Austin Hedges","CLE",595978,2021,1.51833625026205,1.32006777304639,-0.758584449336956
"Heineman"," Scott","Scott Heineman","CIN",595981,2021,-0.580263449604479,0.408179098327809,-0.493453910595734
"Lindor"," Francisco","Francisco Lindor","NYM",596019,2021,-1.47282846632108,-0.647536038655607,-0.472030130971584
"Nogowski Jr."," John","John Nogowski Jr.","ATL",596056,2021,0.412779778207015,0.81914452266195,1.11432513222733
"Odor"," Rougned","Rougned Odor","NYY",596059,2021,-0.115987497602723,0.548797216113584,-1.14318509394788
"Slater"," Austin","Austin Slater","SF",596103,2021,-2.27338879961652,-2.15205444150648,-0.331266130073607
"Story"," Trevor","Trevor Story","COL",596115,2021,-2.38373674200906,-1.52096716683779,-0.589324801452543
"Stubbs"," Garrett","Garrett Stubbs","HOU",596117,2021,2.36267105222811,-1.0073120619784,-0.0163030994315762
"Vogelbach"," Daniel","Daniel Vogelbach","MIL",596129,2021,-0.982457851807668,2.10155319920772,0.759103625547283
"Weaver"," Luke","Luke Weaver","ARI",596133,2021,3.38123753895417,-0.4938461656053,-0.137067408480608
"Sanchez"," Gary","Gary Sanchez","NYY",596142,2021,-1.60199203020756,2.16571695267185,-0.302095007942572
"Kepler"," Max","Max Kepler","MIN",596146,2021,-1.6861838577145,-0.481223485377364,-0.624702381003516
"Gomber"," Austin","Austin Gomber","COL",596295,2021,4.90234685346907,1.18200221771183,-0.129497390616234
