"last_name","first_name","name","team","player_id","year","PC1","PC2","PC3","PC4","PC5"
"Dickerson"," Alex","Alex Dickerson","SF",543105,2021,-1.32175407243156,-0.926659451423227,-0.515507273063513,0.832859948307622,0.34704208706158
"Gomes"," Yan","Yan Gomes","WSH",543228,2021,-2.35516729797728,0.841907043758526,-1.27781997533773,0.146690090554802,0.221730791627223
"Gray"," Sonny","Sonny Gray","CIN",543243,2021,5.12056619358396,3.07965693858066,-0.758114963910754,0.188492717292812,-0.831771766797979
"Grossman"," Robbie","Robbie Grossman","DET",543257,2021,-3.47831889755402,-0.0136133851676279,0.799850530117915,0.0708403540506999,-0.6445149454622
"Harrison"," Josh","Josh Harrison","WSH",543281,2021,-3.01069152888865,1.62055284999506,0.0291849784406779,-0.00591088025519982,-0.163233871271609
"Hendricks"," Kyle","Kyle Hendricks","CHC",543294,2021,5.4515529185286,2.68482098792736,-1.48607609252377,-0.39467534339834,0.074836038923105
"Hicks"," Aaron","Aaron Hicks","NYY",543305,2021,-1.05764803640333,-1.58317089730932,-0.736329924374622,1.21895472748858,-0.32064429230136
"Hicks"," John","John Hicks","TEX",543308,2021,-0.27869481525559,-3.00516385723108,-0.64274127492516,0.310973071726896,0.473892766978109
"Higashioka"," Kyle","Kyle Higashioka","NYY",543309,2021,-1.3359586609182,-2.59472741158388,-1.32442585680312,0.533972134774552,-0.682925562868542
"Hosmer"," Eric","Eric Hosmer","SD",543333,2021,-1.89865369254502,1.75489764274611,-0.789522971581309,-1.46241241674545,-0.497181624040575
"Lavarnway"," Ryan","Ryan Lavarnway","CLE",543432,2021,1.02843495913599,-0.210170054733758,-1.01747276564704,1.04864069522582,1.74747579554974
"McCann"," James","James McCann","NYM",543510,2021,-1.21362239287039,0.66456080736996,-0.886323892050501,-1.05286143832828,-0.525686867207607
"Miller"," Brad","Brad Miller","PHI",543543,2021,-1.49070678457395,-0.846510873068297,-0.355115008511884,-0.883555940253895,-0.0231363169265879
"Nola"," Austin","Austin Nola","SD",543592,2021,-2.07867063727215,1.48320861217745,-0.904143016468669,2.44543754258986,-0.105274184733202
"Rendon"," Anthony","Anthony Rendon","LAA",543685,2021,-2.16595583661585,0.346470674708081,-1.42698364537733,2.18014674466598,-0.262669047252197
"Semien"," Marcus","Marcus Semien","TOR",543760,2021,-4.01006463441559,0.0510162525281857,0.284656331082298,-0.446773072036696,-1.58089280475884
"Shaw"," Travis","Travis Shaw","MIL",543768,2021,-0.524950272625545,-0.692301999914302,-1.14001399462431,1.12190453424527,0.219218686897362
"Springer III"," George","George Springer III","TOR",543807,2021,-3.0203851060173,-1.46625702453964,-0.0670538045321034,0.0641829279246366,-0.724504588539502
"Vazquez"," Christian","Christian Vazquez","BOS",543877,2021,-1.8162183635959,2.16683201108569,-0.240444904343461,0.506732173641431,-0.543586911585443
"Wong"," Kolten","Kolten Wong","MIL",543939,2021,-2.66495061791869,1.37154564736337,0.554193289708839,-0.0294202221318593,-0.62030284170431
"Gregorius"," Didi","Didi Gregorius","PHI",544369,2021,-1.38423080058321,0.188140219038026,-0.024259985359411,1.97194588120948,-1.53017686201613
"Garcia"," Leury","Leury Garcia","CWS",544725,2021,-0.898631156782712,1.7458901031833,0.255440113823569,-1.17938702401589,0.1567438043822
"Vargas"," Ildemaro","Ildemaro Vargas","ARI",545121,2021,1.48967637321019,1.72723357325577,0.496259466549566,0.453923520214626,0.201591065632742
"Bauer"," Trevor","Trevor Bauer","LAD",545333,2021,6.25149567788413,2.04551854728324,-1.32482401988432,-0.129436865515982,0.0111076129986636
"Grichuk"," Randal","Randal Grichuk","TOR",545341,2021,-2.24819425780744,0.287925861886196,-0.718866075835222,0.145060696869341,-1.85821469661278
