last_name, first_name,name,team,player_id,year,Age,AB,PA,HR%,K%,BB%,AVG,SLG,OBP,RBI/PA,CSSB%,SB%,DPTP%,HBP%,IBB%,SacBunt%,SacFly%,R/PA,Sac%,Walkoff,AvgEV(MPH),AvgLA(°),SweetSpot%,Barrel%,SolidContact%,Flare/Burner%,Under%,Topped%,Poor/Weak%,HardHit%,ZoneSwing%,OutofZoneSwing%,OutofZoneContact%,InZoneContact%,Whiff%,Swing%,Pull%,StraightAway%,Oppo%,GB%,FB%,LD%,Popup%,HPto1B,SprintSpeed
Lee, Khalil,Khalil Lee,NYM,666137,2021,23,18,18,0,72.2,0,0.056,0.111,0.056,0.055555556,0,0,0,0,0,0,0,0.111111111,0,0,89.5,0,40,0,20,20,20,40,0,60,63.6,23.5,0,57.1,55.6,46.2,40,20,40,60,20,20,0,4.57,26.73
Lux, Gavin,Gavin Lux,LAD,666158,2021,24,335,381,0.020895522,21.8,10.8,0.242,0.364,0.328,0.120734908,0.040010243,0.032008194,0.008955224,0.007874016,0.277777778,0,1,0.128608924,0.005249344,0,89.6,11.4,34.3,3.9,5.9,24.8,24.4,36.6,2.8,39.6,71.1,21.5,48,85.3,22.9,46.6,39.4,37.8,22.8,46.9,22,24.8,6.3,4.18,29.1
Moniak, Mickey,Mickey Moniak,PHI,666160,2021,23,33,37,0.03030303,43.2,8.1,0.091,0.182,0.162,0.081081081,0,0,0,0,0.12345679,1,0,0.081081081,0.027027027,0,90.9,9.1,27.8,5.6,0,16.7,27.8,44.4,5.6,38.9,71.4,39.4,35.7,71.1,41.1,54.5,38.9,27.8,33.3,61.1,33.3,5.6,0,4.37,27.8
Rortvedt, Ben,Ben Rortvedt,MIN,666163,2021,24,89,98,0.033707865,29.6,6.1,0.169,0.281,0.224,0.071428571,0,0,0.02247191,0.010204082,0,1,0,0.081632653,0.020408163,0,84.6,13.7,25.8,6.5,3.2,21,25.8,33.9,9.7,29,68.3,25,42,77.2,31.6,45.9,30.6,41.9,27.4,41.9,27.4,21,9.7,4.55,26.7
Adell, Jo,Jo Adell,LAA,666176,2021,22,130,140,0.030769231,22.9,5.7,0.246,0.408,0.293,0.185714286,0.073135056,0.048756704,0.023076923,0.007142857,0,1,0,0.121428571,0.007142857,0,86.2,10.1,27.3,9.1,5.1,20.2,20.2,39.4,4,31.3,75.4,34.8,60,75.9,29.7,53.8,48.5,33.3,18.2,47.5,18.2,26.3,8.1,4.28,29.9
Beer, Seth,Seth Beer,ARI,666179,2021,25,9,10,0.111111111,30,10,0.444,0.889,0.5,0.3,0,0,0,0,0,0,0,0.4,0,0,88.5,22.3,83.3,0,33.3,50,16.7,0,0,50,82.4,36.8,42.9,85.7,28.6,58.3,50,33.3,16.7,0,33.3,66.7,0,4.57,26.73
Bichette, Bo,Bo Bichette,TOR,666182,2021,23,640,690,0.0453125,19.9,5.8,0.298,0.484,0.343,0.147826087,0.109857608,0.105632315,0.015625,0.008695652,0,0,1,0.175362319,0.005797101,1,91.4,7.2,33.3,9.7,4.3,28.4,18.7,34.5,3.6,47.4,79.5,38.1,62.8,85.5,22.3,57.8,29,37.5,33.5,49.3,22.3,23.9,4.5,4.4,28
Carlson, Dylan,Dylan Carlson,STL,666185,2021,23,542,619,0.033210332,24.6,9.2,0.266,0.437,0.342,0.105008078,0.014171131,0.00944742,0.009225092,0.017770598,0.217391304,0.111111111,0.888888889,0.127625202,0.01453958,0,88.2,15.1,40.6,7,7,27.3,27.3,27.3,3.3,31.1,67.2,23.9,52.9,79,27.9,45,39.3,32.6,28.1,40.1,31.1,24.3,4.3,4.37,28
Kieboom, Carter,Carter Kieboom,WSH,666198,2021,24,217,249,0.02764977,24.9,10,0.207,0.318,0.301,0.080321285,0,0,0.041474654,0.020080321,0.2,0,1,0.104417671,0.008032129,1,85.3,7.4,28.7,3.8,7,27.4,17.8,35.7,8.3,36.3,69.2,29.2,45.4,81.3,29.5,49.1,42.7,36.3,21,49,21,24.8,5.1,4.56,27.4
Luzardo, Jesus,Jesus Luzardo,MIA,666200,2021,24,15,20,0,30,20,0,0,0.2,0,0,0,0,0,0,1,0,0.05,0.05,0,77.6,-22,0,0,0,0,10,60,30,0,37.8,14.6,100,64.3,20,25.6,20,20,60,90,10,0,0,5.06,24
