"last_name","first_name","name","team","player_id","year","Age","HR.","BB.","AVG","SLG","OBP","RBI.PA","CSSB.","SB.","DPTP.","HBP.","IBB.","SacBunt.","SacFly.","Sac.","Walkoff","SweetSpot.","Barrel.","SolidContact.","Flare.Burner.","Under.","Topped.","Poor.Weak.","HardHit.","HPto1B","SprintSpeed"
"Butera"," Drew","Drew Butera","LAA",460077,2021,2.580478872,-1.143454263,-1.824891613,-1.48791394,-1.471551447,-2.112096923,0.92332295,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.132674011,-0.480631948,2.010521164,-0.460692573,1.582552326,-1.19977291,-0.097361754,0.43390485,1.142409946,-1.74299989,0.945310936,-1.883629603,0.010072783,-0.002291049
"Romine"," Andrew","Andrew Romine","CHC",461865,2021,2.031855423,-0.44461063,-0.312451564,-0.313361754,-0.48447756,-0.420705529,-0.269964059,1.188901994,-0.57571644,-0.119069837,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,0.587262148,-1.19977291,-0.662375696,0.43390485,-0.19661833,0.847227005,-0.061995122,-1.353315423,-0.549506262,0.493978112
"Andrus"," Elvis","Elvis Andrus","OAK",462101,2021,1.20892025,-0.890351959,-0.456493474,0.478471181,-0.116062659,0.228967986,-0.461104248,0.663396476,0.831862162,0.538201992,0.019377941,1.287897491,0.346068807,0.218290671,-0.208061361,1.137539481,0.352418398,-0.792914115,0.133780313,1.139634634,-0.322152231,0.265153545,-0.389154355,0.079324379,-0.121592875,-0.019403778
"Sandoval"," Pablo","Pablo Sandoval","ATL",467055,2021,1.757543699,1.154113818,1.248002454,-0.379347832,0.036864281,0.340980661,0.707659122,-0.629532178,-0.57571644,0.494102108,0.869038156,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,1.213512148,0.815146836,-0.302821369,-0.391665842,0.964570254,-0.161700325,-0.595781239,1.116207329,2.577553105,-2.301101067
"Ramos"," Wilson","Wilson Ramos","DET",467092,2021,1.483231974,1.078035367,-0.504507444,-0.023023011,0.419181631,-0.297491587,0.605391976,-0.629532178,-0.57571644,-0.31459025,-0.755223947,-0.540844416,-0.702738134,1.1501875,-0.361825081,-0.460692573,-0.072536958,0.970140663,-0.04599685,0.314063943,-0.447686132,0.313659667,-0.483858343,0.807516985,1.524227844,-1.730676745
"Santana"," Carlos","Carlos Santana","KC",467793,2021,1.757543699,0.266601906,1.320023409,0.095751929,0.036864281,0.531402209,0.251998766,-0.49998818,-0.412988061,0.142200747,-0.437272796,0.652723777,-0.702738134,1.1501875,-0.329005048,1.137539481,-0.318563744,0.117674616,0.441969736,0.087697786,0.138138739,0.177842526,-0.50107725,0.641299107,0.43798617,-1.046167558
"Parra"," Gerardo","Gerardo Parra","WSH",467827,2021,1.483231974,-0.278905444,-0.480500459,0.399287887,0.099425302,0.206565451,0.031145748,0.248098176,-0.024493047,0.695847673,0.550257756,-0.540844416,0.520869963,0.062974534,-0.078059173,-0.460692573,0.598445184,-0.928533713,-0.277138918,0.966531102,0.964570254,-0.530346849,-0.406373262,-0.379753569,0.339236926,-0.418700804
"Carrasco"," Carlos","Carlos Carrasco","NYM",471911,2021,1.483231974,-1.143454263,-1.824891613,-2.728452204,-2.340454516,-3.041802126,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,4.257196301,-0.460692573,-3.449813742,-1.19977291,-1.38148435,-1.416971377,-2.518995496,0.032324161,4.01027638,-2.675143306,0.010072783,-0.002291049
"Anderson"," Brett","Brett Anderson","MIL",474463,2021,1.20892025,-1.143454263,1.007932605,-2.728452204,-2.340454516,-1.72005256,-1.226599184,-0.629532178,-0.57571644,5.050957711,-0.755223947,-0.540844416,1.74447806,-1.024238431,0.828878874,-0.460692573,-1.347403029,-1.19977291,-1.38148435,-2.05612288,-1.211350695,0.439775583,2.994360868,-2.675143306,0.010072783,-0.002291049
"Mercer"," Jordy","Jordy Mercer","WSH",474568,2021,1.757543699,-0.432765818,-0.120395685,0.623640552,0.189791221,0.396986998,-0.412514201,-0.629532178,-0.57571644,-0.58718566,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,1.347708576,-0.50230069,0.750159159,1.698892199,-0.280307597,-0.772877457,-0.165308564,-0.039402677,-0.121592875,-0.133488643
"Belt"," Brandon","Brandon Belt","SF",474832,2021,1.20892025,2.598046948,1.199988484,0.887584863,1.809426542,1.192276991,1.236879578,-0.156798394,-0.219418028,0.510961862,0.527985715,0.700087592,-0.702738134,1.1501875,-0.441153962,-0.460692573,0.464248756,2.016348992,0.236510121,-0.032143121,0.577507392,-1.500469282,-0.15669911,0.886668355,0.14173844,-0.646870533
"Zimmerman"," Ryan","Ryan Zimmerman","WSH",475582,2021,2.306167148,1.158618843,-0.408479504,0.478471181,0.933572248,0.161760381,1.504792777,-0.629532178,-0.57571644,0.945347606,-0.755223947,-0.540844416,-0.702738134,1.1501875,-0.334908922,-0.460692573,0.151123756,0.853895293,0.185145217,-0.151984028,-0.248924122,0.517385378,-0.535515064,1.108292192,-0.154509289,-0.07644621
"Lowrie"," Jed","Jed Lowrie","OAK",476704,2021,2.306167148,0.141072288,0.479778937,0.504865612,0.426132856,0.520200941,0.842349901,-0.629532178,-0.57571644,-0.071138612,-0.482398672,0.00206334,-0.702738134,1.1501875,-0.323914711,1.137539481,0.631994291,0.602030324,1.084031034,0.274116974,0.295056115,-0.394529709,-0.656047413,0.957904588,0.43798617,-0.875040262
"Kershaw"," Clayton","Clayton Kershaw","LAD",477132,2021,1.20892025,-1.143454263,-1.200710006,0.201329653,-0.797282665,-0.454309332,-0.293567537,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,0.658449702,-0.460692573,0.274137149,-1.19977291,-1.38148435,1.04642504,-1.744869774,0.750214761,1.134718913,-1.503703026,2.347138204,-2.129973771
"Avila"," Alex","Alex Avila","WSH",488671,2021,1.483231974,-0.672323736,2.280302805,-0.207784029,0.078571628,0.789031361,-0.211912261,-0.629532178,-0.57571644,1.496754835,0.503213355,-0.236054099,1.74447806,-1.024238431,-0.296874914,-0.460692573,0.978668398,0.989514891,1.03266613,-0.631347655,0.043988314,-0.084090531,-0.285840913,0.760026163,1.49131143,-1.445464584
"Brantley Jr."," Michael","Michael Brantley Jr.","HOU",488726,2021,1.483231974,-0.428219868,-0.264437595,1.37588184,0.697230613,1.013056711,0.012720129,-0.481443752,-0.482704839,0.268783757,-0.067790162,0.260988575,-0.702738134,1.1501875,-0.455982643,-0.460692573,0.889204112,-0.076067667,0.210827669,1.286106853,-0.311691072,-0.084090531,-0.483858343,0.720450478,0.273404098,-0.5898281
"Castro"," Jason","Jason Castro","HOU",488771,2021,1.483231974,1.107854032,1.536086273,0.372893456,0.738937961,0.901044036,0.49972035,-0.629532178,-0.57571644,0.462581098,0.415333688,-0.168564816,1.74447806,-1.024238431,-0.24796692,1.137539481,1.392440719,1.590115969,0.210827669,1.219528572,-0.468608448,-0.996005617,-0.32888818,0.672959656,-0.154509289,-0.07644621
"Miley"," Wade","Wade Miley","CIN",489119,2021,1.757543699,-1.143454263,-0.600535383,-0.286967323,-0.665209399,-0.577523274,-0.805643014,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,1.74447806,-1.024238431,0.265596013,-0.460692573,-0.32974678,-1.19977291,-0.790787956,0.513798787,-0.813826676,0.866629453,0.428743727,-0.648868228,1.853391988,-1.730676745
"Gurriel"," Yuli","Yuli Gurriel","HOU",493329,2021,2.306167148,0.043261325,0.527792907,1.481459564,0.871011227,1.248283329,0.825042318,-0.512004738,-0.501899637,0.653610517,-0.293450276,0.522811593,-0.702738134,1.1501875,-0.052225863,1.137539481,0.016927327,-0.541049147,0.031050505,0.979846758,0.441512333,-0.151999101,-0.578562332,0.649214244,-0.483673433,0.151723519
"Campbell"," Eric","Eric Campbell","SEA",493472,2021,1.483231974,-1.143454263,0.167688134,0.874387648,-0.442770213,0.688219954,-1.804190212,-0.629532178,-0.57571644,-1.071443357,-0.755223947,-0.540844416,-0.702738134,-1.024238431,-0.500468685,-0.460692573,1.023400541,-1.19977291,3.755006032,1.099687665,-0.426763815,-0.287816241,-0.776579762,-1.092115901,0.536735413,-0.5898281
"Rojas"," Miguel","Miguel Rojas","MIA",500743,2021,0.934608526,-0.381079414,-0.168409655,0.768809923,0.384425509,0.553804744,-0.055343191,0.629653003,0.709448811,0.082948754,-0.10732718,-0.540844416,0.520869963,0.062974534,-0.41661374,-0.460692573,0.173489827,-0.657294517,-0.17440911,0.567061413,0.148599898,0.381568237,-0.449420529,-0.071063225,-0.022843632,-0.07644621
