last_name,first_name,name,team,player_id,year,AB,PA,BB.,AVG,SLG,OBP,CSSB.,SB.,HBP.,SacBunt.,SacFly.,SweetSpot.,Barrel.,SolidContact.,Flare.Burner.,Under.,Topped.,Poor.Weak.,HardHit.,OutofZoneContact.,InZoneContact.,Whiff.,StraightAway.,Popup.,SprintSpeed
Haniger, Mitch,Mitch Haniger,SEA,571745,2021,2.140675068,2.111969133,0.047653209,0.610443336,1.030889392,0.520200941,-0.567565498,-0.497876188,0.154456851,-0.702738134,1.1501875,0.307686256,1.241379859,0.287875024,0.234170005,-0.06062327,-0.365426036,-0.380544901,0.894583492,-0.097642921,0.206767383,0.207085412,-0.208498012,0.275314657,0.265808383
Hernandez, Enrique,Enrique Hernandez,BOS,571771,2021,1.541220535,1.607705982,0.671834817,0.57085169,0.780645308,0.733025024,-0.560464051,-0.488955613,0.319287877,-0.702738134,1.1501875,0.60962822,0.427662269,0.955618774,0.194223036,0.839036353,-0.782578682,-0.67326632,0.736280752,0.215903366,0.796054426,-0.53093243,-0.609925615,0.445597993,0.379893247
Holt, Brock,Brock Holt,TEX,571788,2021,0.08005011,0.061616132,0.287723058,0.029765851,-0.268989599,0.105754043,0.488707759,0.594859931,-0.486595973,-0.702738134,1.1501875,-0.038987851,-0.889785257,-0.148726658,0.593692725,0.054449472,0.274854769,-0.363325994,-0.688443913,1.00325293,0.775377687,-0.999515186,-0.464965647,-0.086537433,-0.361658372
Lamb, Jake,Jake Lamb,CWS,571875,2021,-0.407006698,-0.366531826,1.272009439,-0.168192383,0.217596119,0.385785731,-0.629532178,-0.57571644,0.066461594,-0.702738134,1.1501875,0.430699648,1.047637576,-0.020314398,-0.231877966,0.671657818,-0.23931012,-0.595781239,0.823347259,-0.08370753,0.279135967,-0.167780793,-0.877544018,1.020304254,-0.418700804
Maile, Luke,Luke Maile,MIL,571912,2021,-1.017165776,-1.013510963,0.287723058,1.230712468,0.669425715,1.237082061,-0.629532178,-0.57571644,1.298989906,-0.702738134,-1.024238431,1.895677326,-0.366681092,-1.38148435,0.580377069,-1.608874715,0.177842526,1.470487599,-0.609292542,0.278612623,0.434211505,0.417947653,-0.777187117,-1.448804125,-0.475743236
Marrero, Deven,Deven Marrero,MIA,571918,2021,-1.092097593,-1.084868956,1.968212001,-0.247375676,0.266254691,0.497798406,1.638361737,2.273128001,-0.755223947,-0.702738134,-1.024238431,1.023400541,-1.19977291,1.186760841,-2.895009228,2.711583708,0.682306191,-0.776579762,-1.883629603,-1.477246582,0.671993996,0.066510585,0.293286493,2.808279286,-0.002291049
Mikolas, Miles,Miles Mikolas,STL,571945,2021,-1.134915774,-1.103897754,-0.216423625,-2.728452204,-2.340454516,-2.291317203,-0.629532178,-0.57571644,-0.755223947,1.74447806,-1.024238431,-2.208496778,-1.19977291,-1.38148435,0.061066473,-1.357806913,-3.198183538,4.965925717,-1.796563096,-2.020726812,-1.157897346,1.483973425,-1.691549992,0.913877168,-0.002291049
Muncy, Max,Max Muncy,LAD,571970,2021,1.482345536,1.641006379,1.536086273,0.557654474,1.322840823,1.080264316,-0.442026188,-0.418691048,0.542539516,-0.702738134,1.1501875,0.430699648,1.91947785,0.596064447,-0.285140591,0.023065997,-0.559450522,-0.483858343,1.005395411,0.041710984,0.568610304,-0.542646999,0.226381892,-0.25682077,-0.019403778
Myers, Wil,Wil Myers,SD,571976,2021,1.187970542,1.203344021,0.767862756,0.650034983,0.67637694,0.699421221,0.430429825,0.243658991,-0.755223947,-0.702738134,1.1501875,0.028110363,0.253294215,-0.379868725,0.03443516,0.221828007,0.139037629,-0.294450366,0.348439038,0.06261407,-0.37218129,0.417947653,0.549754128,-0.129108267,0.893275137
Naquin, Tyler,Tyler Naquin,CIN,571980,2021,1.022050091,0.984512842,0.023646224,0.834796001,0.975279596,0.688219954,0.090999891,-0.010025358,0.013975075,-0.702738134,1.1501875,0.072842506,0.815146836,-0.302821369,0.513798787,-0.416302656,-0.045285633,-0.216965285,0.617553696,0.759383596,0.62030215,-0.507503292,-0.297704146,-0.278106187,0.551020544
