last_name,first_name,name,team,player_id,year,HR.,SLG,OBP,SB.,Sac.,SweetSpot.,HPto1B,SprintSpeed
Inciarte, Ender,Ender Inciarte,ATL,542255,2021,-0.081919639,-0.143867557,-0.017459899,0.136079725,0.261292277,0.095208577,-1.109085307,0.037638654
Ozuna, Marcell,Marcell Ozuna,ATL,542303,2021,0.417792138,0.134181425,0.184162916,-0.57571644,-0.500468685,0.486614827,-0.055760046,-0.133488643
Villar, Jonathan,Jonathan Villar,NYM,542340,2021,0.518993108,0.551254898,0.553804744,0.9014895,-0.410968058,-0.106086066,-0.615339091,0.322850815
Ortega, Rafael,Rafael Ortega,CHC,542364,2021,0.414778124,0.877962452,0.968251641,1.161659074,-0.363505604,0.665543398,-0.450757019,0.43693568
Santana, Danny,Danny Santana,BOS,542454,2021,0.663899912,0.057717955,-0.219082714,1.562074084,-0.500468685,-0.463943208,-0.845753992,0.722147841
Aguilar, Jesus,Jesus Aguilar,MIA,542583,2021,0.911052597,0.850157554,0.598609814,-0.57571644,-0.19028759,0.430699648,0.865899557,-1.388422152
Anderson, Tyler,Tyler Anderson,SEA,542881,2021,-0.068310219,-1.096185321,-1.641643687,-0.57571644,-0.500468685,-0.09490303,0.010072783,-0.002291049
Berti, Jon,Jon Berti,MIA,542932,2021,-0.423615341,-0.164721231,0.430590801,1.053086039,-0.250296258,-0.195550351,-1.174918135,1.805954053
Brantly, Rob,Rob Brantly,NYY,542963,2021,-1.143454263,-0.950209605,-0.9135613,-0.57571644,-0.500468685,-2.051934279,0.339236926,-0.418700804
Burns, Andy,Andy Burns,LAD,542992,2021,-1.143454263,0.189791221,2.189189799,-0.57571644,-0.500468685,2.141704112,-0.91158682,0.893275137
Crawford, Brandon,Brandon Crawford,SF,543063,2021,0.940054663,1.2880847,1.136270654,0.343083431,-0.294649848,0.520163934,-0.286174947,-0.5898281
Cron, C.J.,C.J. Cron,COL,543068,2021,1.354539945,1.343694497,1.158673189,-0.492330888,-0.335211589,0.028110363,0.470902584,-0.475743236
DeSclafani, Anthony,Anthony DeSclafani,SF,543101,2021,-1.143454263,-1.930332267,-1.955279178,-0.57571644,2.051021007,0.128757684,2.577553105,-2.301101067
Dickerson, Alex,Alex Dickerson,SF,543105,2021,0.78268717,0.579059796,0.363383196,-0.395380933,-0.500468685,0.542530006,-0.088676461,-0.019403778
Gomes, Yan,Yan Gomes,WSH,543228,2021,0.538576216,0.586011021,0.329779393,-0.57571644,-0.440204921,0.945119291,0.503818998,-0.247573507
Gray, Sonny,Sonny Gray,CIN,543243,2021,-1.143454263,-1.325575731,-1.215995522,-0.57571644,0.025087331,-2.051934279,1.227980115,-1.217294855
Grossman, Robbie,Robbie Grossman,DET,543257,2021,0.587971573,0.544303673,0.945849106,0.856362302,-0.231033106,0.967485362,-0.615339091,0.608062976
Harrison, Josh,Josh Harrison,WSH,543281,2021,-0.479206869,0.440035305,0.777830094,0.233311185,-0.378969178,0.967485362,-0.352007776,-0.019403778
Hendricks, Kyle,Kyle Hendricks,CHC,543294,2021,-1.143454263,-1.402039201,-1.574436082,-0.57571644,2.092848694,-1.749992314,2.972550077,-2.586313228
Hicks, Aaron,Aaron Hicks,NYY,543305,2021,0.409531555,-0.02569674,0.251370521,-0.57571644,-0.141755846,0.60962822,-0.319091361,0.094681086
Hicks, John,John Hicks,TEX,543308,2021,4.266947944,2.365524506,-0.151875109,-0.57571644,-0.500468685,-0.050170887,0.010072783,-0.07644621
Higashioka, Kyle,Kyle Higashioka,NYY,543309,2021,1.029116594,0.363571835,-0.286290319,-0.57571644,-0.393364864,0.777373755,0.470902584,-0.760955397
Hosmer, Eric,Eric Hosmer,SD,543333,2021,-0.15491317,0.405279182,0.721823756,-0.12521965,-0.380474469,-0.497492315,-0.121592875,-0.418700804
Lavarnway, Ryan,Ryan Lavarnway,CLE,543432,2021,-1.143454263,0.141132649,-0.051063702,-0.57571644,0.252828263,1.258244291,1.227980115,-1.217294855
McCann, James,James McCann,NYM,543510,2021,-0.025304459,0.085522853,0.251370521,-0.434506637,-0.335913534,0.117574649,0.470902584,-0.019403778
Miller, Brad,Brad Miller,PHI,543543,2021,1.39011778,0.808450206,0.553804744,-0.151698435,-0.500468685,0.028110363,-0.582422676,0.43693568
Nola, Austin,Austin Nola,SD,543592,2021,-0.658707229,0.273205916,0.766628826,-0.57571644,-0.267490253,-0.083719994,0.536735413,-0.418700804
Rendon, Anthony,Anthony Rendon,LAA,543685,2021,0.015917657,0.314913263,0.643414884,-0.57571644,-0.318951335,0.072842506,0.832983142,-0.875040262
Semien, Marcus,Marcus Semien,TOR,543760,2021,1.750530052,1.399304293,0.699421221,0.55601758,-0.406826808,0.441882684,-0.648255505,1.064402434
Shaw, Travis,Travis Shaw,MIL,543768,2021,0.571889169,0.252352242,0.139357846,-0.57571644,-0.229281781,0.084025542,0.503818998,-0.932082694
Springer III, George,George Springer III,TOR,543807,2021,1.941741633,1.517475111,0.889842769,-0.005767185,-0.434389996,0.699092505,-0.812837577,0.95031757
Vazquez, Christian,Christian Vazquez,BOS,543877,2021,-0.594144855,0.106376527,0.396986998,0.319301387,-0.273572004,0.207038934,0.470902584,-0.875040262
Wong, Kolten,Kolten Wong,MIL,543939,2021,0.175711213,0.766742859,0.710622489,0.669602958,-0.362670461,0.497797863,-0.582422676,-0.019403778
Gregorius, Didi,Didi Gregorius,PHI,544369,2021,0.337790366,0.231498568,-0.017459899,-0.10990866,-0.112742305,0.13994072,-0.615339091,0.551020544
Garcia, Leury,Leury Garcia,CWS,544725,2021,-0.638266095,0.273205916,0.643414884,0.082375289,0.16700963,-0.083719994,-1.174918135,0.95031757
Vargas, Ildemaro,Ildemaro Vargas,ARI,545121,2021,-1.143454263,-0.80423389,-0.611127077,0.373951101,-0.500468685,-0.285014637,0.240487683,0.151723519
Bauer, Trevor,Trevor Bauer,LAD,545333,2021,-1.143454263,-2.111064106,-2.380927343,-0.57571644,1.493552665,-0.396844994,3.400463464,-2.87152539
Grichuk, Randal,Randal Grichuk,TOR,545341,2021,0.661777804,0.59991347,0.105754043,-0.57571644,-0.334605125,-0.050170887,-0.417840604,0.779190273
Marisnick, Jake,Jake Marisnick,CHC,545350,2021,0.047756455,0.266254691,0.128156578,0.645289513,-0.04392508,0.441882684,-0.549506262,1.178487299
Stassi, Max,Max Stassi,LAA,545358,2021,0.789517458,0.620767143,0.609811081,-0.57571644,-0.429625717,0.486614827,0.602568242,-0.190531075
Trout, Mike,Mike Trout,LAA,545361,2021,1.723596465,1.997109605,2.177988532,-0.07291022,-0.500468685,0.822105898,-0.91158682,1.46369946
Herrera, Odubel,Odubel Herrera,PHI,546318,2021,0.067874681,0.551254898,0.419389533,0.099335338,-0.224872237,0.184672863,-0.977419649,0.322850815
Alford, Anthony,Anthony Alford,PIT,546990,2021,0.432884728,0.481742652,0.441792069,1.282333226,-0.500468685,0.576079113,-1.339500207,1.634826756
Almora Jr., Albert,Albert Almora Jr.,NYM,546991,2021,-1.143454263,-1.137892668,-1.384014535,-0.57571644,-0.500468685,-0.888898565,-0.747004748,0.722147841
